"id","name","parent_id","sediaan_id","property_account_expense_categ","property_account_income_categ","property_stock_account_input_categ","property_stock_account_output_categ","property_stock_valuation_account_id"
"product_categ_100","Bahan Baku",,,"5000 Cost of Goods Sold","479100 Sales",,,
"product_categ_110","Bahan Baku Aktif","Bahan Baku",,"5000 Cost of Goods Sold","479100 Sales",,,
"product_categ_120","Bahan Baku Kemas","Bahan Baku",,"5000 Cost of Goods Sold","479100 Sales",,,
"product_categ_130","Bahan Baku Kemas Lainnya","Bahan Baku",,"5000 Cost of Goods Sold","479100 Sales",,,
"product_categ_140","Bahan Baku Pembantu","Bahan Baku",,"5000 Cost of Goods Sold","479100 Sales",,,
"product_categ_150","Bahan Baku Pembantu Lainnya","Bahan Baku",,"5000 Cost of Goods Sold","479100 Sales",,,
"product_categ_160","Obat Jadi",,,"5000 Cost of Goods Sold","479100 Sales",,,
"product_categ_170","Betalaktam","Obat Jadi","Betalaktam","5000 Cost of Goods Sold","479100 Sales",,,
"product_categ_180","Dry Syrup","Obat Jadi","Syrup","5000 Cost of Goods Sold","479100 Sales",,,
"product_categ_190","Injeksi","Obat Jadi","Injeksi","5000 Cost of Goods Sold","479100 Sales",,,
"product_categ_200","Kapsul Kaplet Tablet","Obat Jadi","Kapsul","5000 Cost of Goods Sold","479100 Sales",,,
"product_categ_210","Lain-Lain 1 (Pembelian Produk Ruahan (Makloon)","Obat Jadi",,"5000 Cost of Goods Sold","479100 Sales",,,
"product_categ_220","Lain-Lain 2 (Pembelian Produk Jadi)","Obat Jadi",,"5000 Cost of Goods Sold","479100 Sales",,,
"product_categ_230","Larutan","Obat Jadi","Larutan","5000 Cost of Goods Sold","479100 Sales",,,
"product_categ_240","PKRT","Obat Jadi",,"5000 Cost of Goods Sold","479100 Sales",,,
"product_categ_250","Soft Capsule","Obat Jadi","Soft Capsule","5000 Cost of Goods Sold","479100 Sales",,,
"product_categ_260","Syrup","Obat Jadi","Syrup","5000 Cost of Goods Sold","479100 Sales",,,
